Spain,time,year,week_of_year,day_of_year,hour
0.0,2006-01-03 00:00:00,2006,1,3,0
0.0,2006-01-03 01:00:00,2006,1,3,1
0.0,2006-01-03 02:00:00,2006,1,3,2
0.0,2006-01-03 03:00:00,2006,1,3,3
0.0,2006-01-03 04:00:00,2006,1,3,4
0.0,2006-01-03 05:00:00,2006,1,3,5
0.0,2006-01-03 06:00:00,2006,1,3,6
0.0,2006-01-03 07:00:00,2006,1,3,7
0.10925341648988304,2006-01-03 08:00:00,2006,1,3,8
0.298631140495156,2006-01-03 09:00:00,2006,1,3,9
0.426617160664225,2006-01-03 10:00:00,2006,1,3,10
0.495027676770382,2006-01-03 11:00:00,2006,1,3,11
0.52122641509434,2006-01-03 12:00:00,2006,1,3,12
0.48042839467986403,2006-01-03 13:00:00,2006,1,3,13
0.40705069233828095,2006-01-03 14:00:00,2006,1,3,14
0.297173650322246,2006-01-03 15:00:00,2006,1,3,15
0.14303877940241594,2006-01-03 16:00:00,2006,1,3,16
0.0,2006-01-03 17:00:00,2006,1,3,17
0.0,2006-01-03 18:00:00,2006,1,3,18
0.0,2006-01-03 19:00:00,2006,1,3,19
0.0,2006-01-03 20:00:00,2006,1,3,20
0.0,2006-01-03 21:00:00,2006,1,3,21
0.0,2006-01-03 22:00:00,2006,1,3,22
0.0,2006-01-03 23:00:00,2006,1,3,23
0.0,2006-01-04 00:00:00,2006,1,4,0
0.0,2006-01-04 01:00:00,2006,1,4,1
0.0,2006-01-04 02:00:00,2006,1,4,2
0.0,2006-01-04 03:00:00,2006,1,4,3
0.0,2006-01-04 04:00:00,2006,1,4,4
0.0,2006-01-04 05:00:00,2006,1,4,5
0.0,2006-01-04 06:00:00,2006,1,4,6
0.0,2006-01-04 07:00:00,2006,1,4,7
0.11042024013722099,2006-01-04 08:00:00,2006,1,4,8
0.29410363894865194,2006-01-04 09:00:00,2006,1,4,9
0.40754079551249395,2006-01-04 10:00:00,2006,1,4,10
0.47099185337495403,2006-01-04 11:00:00,2006,1,4,11
0.4926575143310779,2006-01-04 12:00:00,2006,1,4,12
0.467061126270689,2006-01-04 13:00:00,2006,1,4,13
0.394939965694683,2006-01-04 14:00:00,2006,1,4,14
0.283876500857633,2006-01-04 15:00:00,2006,1,4,15
0.136371200644372,2006-01-04 16:00:00,2006,1,4,16
